run_dir,novelty_mode,novelty_lr,lambda0,seed,steps,f2p_updates,novelty_updates,unique_actions,exact_repeat_rate,early_steps,early_unique_actions,early_exact_repeat_rate,late_steps,late_reward_total,late_productive_reward,invalid_rate,reward_total,productive_reward_total,death_total,scores,mean_f2p_loss,mean_novelty_loss,mean_negative_logprob_change,max_relative_fixed_norm_error
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/f2p_only,off,5e-06,0.0,42,200,40,0,73,0.635,140,65,0.5357142857142857,60,1.0,0.0,0.05,10.0,6.0,4.0,"{""unique_kill"": 1.0, ""kill"": 1.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 4.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 1.0}",0.3665012723952532,,,
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr2.5e-6_l0.25,learned_fixed_cosine,2.5e-06,0.25,42,200,40,27,78,0.61,140,67,0.5214285714285714,60,2.0,0.0,0.17,10.0,5.0,5.0,"{""unique_kill"": 1.0, ""kill"": 1.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 5.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 0.0}",0.40981446616351613,-19.84674223617271,-0.014838126853660018,3.598248372692173e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr2.5e-6_l0.5,learned_fixed_cosine,2.5e-06,0.5,42,200,40,27,64,0.6799999999999999,140,55,0.6071428571428572,60,4.0,3.0,0.11,7.0,4.0,3.0,"{""unique_kill"": 0.0, ""kill"": 0.0, ""craft"": 1.0, ""exploration"": 2.0, ""death"": 3.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 0.0}",0.38800738018006087,-18.559705278608533,-0.006555797435619305,2.8786274934401476e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr2.5e-6_l1.0,learned_fixed_cosine,2.5e-06,1.0,42,200,40,27,77,0.615,140,61,0.5642857142857143,60,7.0,6.0,0.035,12.0,9.0,3.0,"{""unique_kill"": 2.0, ""kill"": 2.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 3.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 2.0}",0.3682558470219375,-17.577262041303847,-0.013880885088885745,2.8785966265726133e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr5e-6_l0.25,learned_fixed_cosine,5e-06,0.25,42,200,40,27,87,0.565,140,69,0.5071428571428571,60,3.0,3.0,0.07,11.0,9.0,2.0,"{""unique_kill"": 1.0, ""kill"": 6.0, ""craft"": 0.0, ""exploration"": 1.0, ""death"": 2.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 0.0}",0.3547813487425447,-14.51191636014868,-0.015072695414225372,2.878595797940998e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr5e-6_l0.5,learned_fixed_cosine,5e-06,0.5,42,200,40,27,69,0.655,140,53,0.6214285714285714,60,8.0,6.0,0.15,10.0,7.0,3.0,"{""unique_kill"": 2.0, ""kill"": 2.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 3.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 0.0}",0.3881764047220349,-17.575247871434247,-0.02051045099894203,3.5982558821948296e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/pilot/fixed_cosine_lr5e-6_l1.0,learned_fixed_cosine,5e-06,1.0,42,200,40,27,75,0.625,140,58,0.5857142857142856,60,3.0,2.0,0.04,8.0,3.0,5.0,"{""unique_kill"": 1.0, ""kill"": 1.0, ""craft"": 0.0, ""exploration"": 1.0, ""death"": 5.0, ""trade"": 0.0, ""quest"": 0.0, ""side_quest"": 0.0}",0.35147972650825976,-14.50381532775031,-0.01580211586422393,2.878604498596752e-07
