run_dir,novelty_mode,negative_selection,novelty_strength_mode,novelty_lr,lambda0,seed,steps,f2p_updates,novelty_updates,unique_actions,exact_repeat_rate,local_25_repeat_rate,early_steps,early_unique_actions,early_exact_repeat_rate,late_steps,late_reward_total,late_productive_reward,invalid_rate,reward_total,productive_reward_total,death_total,scores,mean_f2p_loss,mean_novelty_loss,mean_negative_logprob_change,mean_relative_applied_strength,mean_counterfactual_applied_minus_task,mean_counterfactual_applied_update_change,mean_novelty_update_seconds,max_relative_fixed_norm_error
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/formal/f2p_only_seed42,off,uniform_without_replacement_from_fifo_occurrences,absolute,5e-06,0.0,42,500,100,0,159,0.6819999999999999,0.548,350,128,0.6342857142857143,150,17.0,15.0,0.068,35.0,29.0,6.0,"{""unique_kill"": 5.0, ""kill"": 21.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 6.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 0.0}",0.1920752469701693,,,,,,,
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/formal/learned_fixed_constant_seed42,learned_fixed_constant,uniform_without_replacement_from_fifo_occurrences,absolute,5e-06,0.25,42,500,100,99,157,0.6859999999999999,0.546,350,129,0.6314285714285715,150,17.0,15.0,0.042,37.0,30.0,7.0,"{""unique_kill"": 6.0, ""kill"": 19.0, ""craft"": 1.0, ""exploration"": 2.0, ""death"": 7.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 1.0}",0.19002324034227067,-8.852886319679746,-0.029974003459769027,,,,,6.476885291770728e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/formal/learned_fixed_cosine_seed42,learned_fixed_cosine,uniform_without_replacement_from_fifo_occurrences,absolute,5e-06,0.25,42,500,100,69,146,0.708,0.554,350,116,0.6685714285714286,150,12.0,8.0,0.024,35.0,23.0,12.0,"{""unique_kill"": 4.0, ""kill"": 12.0, ""craft"": 1.0, ""exploration"": 2.0, ""death"": 12.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 3.0}",0.19948548833513643,-10.168046211505281,-0.03029746948808863,,,,,2.8786034628016427e-07
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/formal/learned_unconstrained_cosine_seed42,learned_unconstrained_cosine,uniform_without_replacement_from_fifo_occurrences,absolute,5e-06,0.25,42,500,100,69,168,0.6639999999999999,0.486,350,126,0.64,150,6.0,3.0,0.046,30.0,20.0,10.0,"{""unique_kill"": 4.0, ""kill"": 12.0, ""craft"": 0.0, ""exploration"": 2.0, ""death"": 10.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 1.0}",0.20031928343669292,-11.147327274170475,-0.11654769372249009,,,,,20.163107774978744
/home/sunward/tmp-ttt/experiments/dual_lora_novelty_20260902/formal/random_fixed_cosine_seed42,random_fixed_cosine,uniform_without_replacement_from_fifo_occurrences,absolute,5e-06,0.25,42,500,100,69,149,0.702,0.54,350,115,0.6714285714285715,150,6.0,2.0,0.044,29.0,16.0,13.0,"{""unique_kill"": 3.0, ""kill"": 8.0, ""craft"": 1.0, ""exploration"": 2.0, ""death"": 13.0, ""trade"": 0.0, ""quest"": 1.0, ""side_quest"": 1.0}",0.20357756479256195,,0.0002145628998245018,,,,,7.196511764389659e-08
