setting,status,steps,unique_actions,exact_repeat_count,exact_repeat_rate,semantic_repeat_count,semantic_repeat_rate,invalid_count,invalid_rate,adapter_updates,history_target_logprob_change_mean,chosen_action_logprob_change_mean,repeat_chosen_action_logprob_change_mean,effect_target,effect_target_updates,effect_target_updates_achieved,calibrated_scale_mean,calibrated_drop_mean,calibrated_kl_mean,average_decision_seconds,average_input_tokens,average_output_tokens,unique_kill,kill,craft,death,side_quest
exact_action_adapter,completed_50_steps,50,23,30,0.6,30,0.6,1,0.02,10,-0.00916635968923849,-0.005289889927371405,-0.006736166204306452,,0,0,,,,40.51802328680642,3453.72,701.64,1,1,0,2,1
f2p_control,completed_50_steps,50,29,25,0.5,26,0.52,2,0.04,0,,,,,0,0,,,,40.92222337840125,3438.76,730.22,2,2,1,1,1
prompt_history25,completed_50_steps,50,30,21,0.42,24,0.48,2,0.04,0,,,,,0,0,,,,55.052746465783564,3490.28,966.28,2,2,0,3,0
semantic_action_adapter,completed_50_steps,50,26,28,0.56,29,0.58,1,0.02,10,-0.027525103230642146,-0.014080296690954128,-0.02344469213494449,,0,0,,,,42.794411656418816,3046.4,734.84,1,1,0,3,0
exact_target_drop0.2,stopped_early_token_surface_escape,14,13,2,0.14285714285714285,2,0.14285714285714285,7,0.5,3,0.032124783614880435,1.920759144488589,0.808731620083563,0.2,3,3,7.5061289469401045,0.20000126634293144,0.4495558123006731,42.6491167117908,3700.714285714286,752.9285714285714,0,0,0,1,0
exact_target_drop0.5,stopped_early_token_surface_escape,12,12,1,0.08333333333333333,1,0.08333333333333333,4,0.3333333333333333,3,0.026937294419301594,1.7398754599610886,0.0004964330582879484,0.5,3,3,10.150522867838541,0.5000045216462455,0.7862787748396537,48.63550350465812,3684.6666666666665,822.0,0,0,0,1,0
