method,steps,invalid_actions,invalid_rate,failure_events,failure_rate,immediate_repeat_rate,recent_repeat_rate,distinct_actions,mean_decision_seconds,median_decision_seconds,mean_input_tokens,mean_response_words,history_reference_rate,prediction_coverage,prediction_overlap_mean,positive_events,positive_reward_total,raw_reward_total_including_death,net_reward_proxy_positive_minus_death,score_components
Environment-prediction TTT (Remnant),500,42,0.084,195,0.39,0.04,0.168,145,33.625138116419315,13.673719385638833,2421.276,664.122,0.996,0.156,0.03849243302540838,8,15,27,3,"{""unique_kill"": 4, ""kill"": 7, ""craft"": 0, ""exploration"": 2, ""death"": 12, ""trade"": 0, ""quest"": 1, ""side_quest"": 1}"
SFT + Short-Term Memory (Remnant),500,11,0.022,358,0.716,0.57,0.676,78,69.13114817135595,15.033626723685302,1499.928,886.876,0.796,0.0,,5,6,12,0,"{""unique_kill"": 1, ""kill"": 1, ""craft"": 0, ""exploration"": 2, ""death"": 6, ""trade"": 0, ""quest"": 1, ""side_quest"": 1}"
Feedback-to-Policy TTT (Remnant),500,24,0.048,207,0.414,0.062,0.21,157,20.79156343693286,20.30529579333961,3262.162,522.758,0.992,0.17,0.037668716395632816,10,27,35,19,"{""unique_kill"": 4, ""kill"": 17, ""craft"": 1, ""exploration"": 2, ""death"": 8, ""trade"": 0, ""quest"": 1, ""side_quest"": 2}"
Lookahead Environment-TTT (Remnant),500,21,0.042,184,0.368,0.084,0.23,134,67.68148905467243,39.75372576341033,7568.242,1741.826,1.0,0.724,0.03379951886840569,8,24,30,18,"{""unique_kill"": 5, ""kill"": 16, ""craft"": 0, ""exploration"": 2, ""death"": 6, ""trade"": 0, ""quest"": 1, ""side_quest"": 0}"
