method,steps,invalid_actions,invalid_rate,failure_events,failure_rate,immediate_repeat_rate,recent_repeat_rate,distinct_actions,mean_decision_seconds,median_decision_seconds,mean_input_tokens,mean_response_words,history_reference_rate,prediction_coverage,prediction_overlap_mean,positive_events,positive_reward_total,raw_reward_total_including_death,net_reward_proxy_positive_minus_death,score_components
Environment-prediction TTT (Mark),500,30,0.06,220,0.44,0.022,0.148,149,24.051481175065042,13.90871211513877,2346.218,653.46,0.982,0.14,0.04299840654254205,7,13,15,11,"{""unique_kill"": 3, ""kill"": 6, ""craft"": 2, ""exploration"": 1, ""death"": 2, ""trade"": 0, ""quest"": 1, ""side_quest"": 0}"
SFT + Short-Term Memory (Mark),500,30,0.06,226,0.452,0.108,0.258,174,219.43562767864066,18.8051555295242,1627.526,3381.97,0.938,0.0,,13,24,28,20,"{""unique_kill"": 3, ""kill"": 11, ""craft"": 3, ""exploration"": 2, ""death"": 4, ""trade"": 0, ""quest"": 5, ""side_quest"": 0}"
Feedback-to-Policy TTT (Mark),500,15,0.03,209,0.418,0.022,0.242,129,19.38315644402802,19.01032254099846,3439.006,498.116,0.982,0.126,0.04603232885854516,9,18,22,14,"{""unique_kill"": 5, ""kill"": 9, ""craft"": 1, ""exploration"": 2, ""death"": 4, ""trade"": 0, ""quest"": 1, ""side_quest"": 0}"
