method,steps,invalid_actions,invalid_rate,failure_events,failure_rate,immediate_repeat_rate,recent_repeat_rate,distinct_actions,mean_decision_seconds,median_decision_seconds,mean_input_tokens,mean_response_words,history_reference_rate,prediction_coverage,prediction_overlap_mean,positive_events,positive_reward_total,raw_reward_total_including_death,net_reward_proxy_positive_minus_death,score_components
Environment-prediction TTT,500,16,0.032,210,0.42,0.022,0.096,152,23.000318880937993,16.03760470636189,2608.24,592.102,0.992,0.072,0.027433960186647968,23,26,34,18,"{""unique_kill"": 3, ""kill"": 3, ""craft"": 1, ""exploration"": 6, ""death"": 8, ""trade"": 0, ""quest"": 9, ""side_quest"": 4}"
SFT + Short-Term Memory,500,47,0.094,294,0.588,0.064,0.176,183,58.50108739453554,17.3153620865196,1695.9,573.86,0.964,0.0,,11,11,13,9,"{""unique_kill"": 0, ""kill"": 0, ""craft"": 0, ""exploration"": 3, ""death"": 2, ""trade"": 0, ""quest"": 7, ""side_quest"": 1}"
Feedback-to-Policy TTT (Metropolis),500,32,0.064,234,0.468,0.026,0.112,148,23.88823039638996,22.738417020067573,3474.94,549.912,0.982,0.03,0.02445656040517743,20,21,24,18,"{""unique_kill"": 1, ""kill"": 1, ""craft"": 2, ""exploration"": 4, ""death"": 3, ""trade"": 0, ""quest"": 7, ""side_quest"": 6}"
Lookahead Environment-TTT (Metropolis),500,35,0.07,221,0.442,0.024,0.1,142,80.34611495453865,43.7853531986475,7926.41,1697.29,1.0,0.578,0.029016778444828757,15,16,19,13,"{""unique_kill"": 1, ""kill"": 1, ""craft"": 0, ""exploration"": 4, ""death"": 3, ""trade"": 0, ""quest"": 7, ""side_quest"": 3}"
Hindsight Long-Horizon TTT (Metropolis),500,31,0.062,204,0.408,0.012,0.098,163,21.47290279268846,17.683718140237033,2454.102,453.858,0.994,0.05,0.026805507409762747,14,15,20,10,"{""unique_kill"": 1, ""kill"": 1, ""craft"": 0, ""exploration"": 6, ""death"": 5, ""trade"": 0, ""quest"": 4, ""side_quest"": 3}"
