run_dir,loss_mode,alpha,beta,steps,updates,finite,mean_loss,max_abs_loss,mean_grad_norm,invalid_rate,unique_actions,reward_total,scores
/home/sunward/agentic-ttt/experiments/f2p_loss_ablation_20260901/formal/original,original,1.0,0.0,500,100,True,2.680569468753977,17.561771631240845,,0.052,134,23.0,"{'unique_kill': 2.0, 'kill': 6.0, 'craft': 1.0, 'exploration': 2.0, 'death': 10.0, 'trade': 0.0, 'quest': 1.0, 'side_quest': 1.0}"
/home/sunward/agentic-ttt/experiments/f2p_loss_ablation_20260901/formal/no_w,no_w,1.0,0.0,500,100,True,6.365388845741749,24.15841636657715,46.1435055065155,0.04,140,31.0,"{'unique_kill': 4.0, 'kill': 13.0, 'craft': 0.0, 'exploration': 2.0, 'death': 10.0, 'trade': 0.0, 'quest': 1.0, 'side_quest': 1.0}"
/home/sunward/agentic-ttt/experiments/f2p_loss_ablation_20260901/formal/normalized_top1_a0.25_b0.25,normalized_logp_l2,0.25,0.25,500,100,True,0.19306118341535325,0.5420666813850403,1.3637229070067405,0.036,156,42.0,"{'unique_kill': 6.0, 'kill': 22.0, 'craft': 0.0, 'exploration': 2.0, 'death': 11.0, 'trade': 0.0, 'quest': 1.0, 'side_quest': 0.0}"
/home/sunward/agentic-ttt/experiments/f2p_loss_ablation_20260901/formal/normalized_top2_a0.5_b0.25,normalized_logp_l2,0.5,0.25,500,100,True,0.29685729608591627,0.9081971526145936,2.077479661107063,0.048,139,42.0,"{'unique_kill': 6.0, 'kill': 18.0, 'craft': 0.0, 'exploration': 2.0, 'death': 13.0, 'trade': 0.0, 'quest': 1.0, 'side_quest': 2.0}"
/home/sunward/agentic-ttt/experiments/f2p_loss_ablation_20260901/formal/normalized_top3_a1.0_b0.25,normalized_logp_l2,1.0,0.25,500,100,True,0.5525151174995532,1.7101577401161194,3.915599644780159,0.062,120,23.0,"{'unique_kill': 2.0, 'kill': 9.0, 'craft': 1.0, 'exploration': 2.0, 'death': 8.0, 'trade': 0.0, 'quest': 1.0, 'side_quest': 0.0}"
